tot_credit_debt,avg_card_debt,credit_age,credit_good_age,card_age,non_mtg_acc_past_due_12_months_num,non_mtg_acc_past_due_6_months_num,mortgages_past_due_6_months_num,credit_past_due_amount,inq_12_month_num,card_inq_24_month_num,card_open_36_month_num,auto_open_36_month_num,uti_card,uti_50plus_pct,uti_max_credit_line,uti_card_50plus_pct,ind_acc_XYZ,rep_income,Default_ind,isNaN_rep_income,isNaN_uti_card_50plus_pct,isOld,State_AL,State_FL,State_GA,State_LA,State_MS,State_NC,State_SC
58325.89,9495.66,236.0,122.0,189.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.4167053323231045,0.4003291350888856,0.3708899523351717,0.4479841472822251,0.0,41000.0,0,0,0,0,0,0,0,0,1,0,0
95237.59,11606.37,412.0,221.0,400.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.6241887121959165,0.6816195003464816,0.5717532126375605,0.5023433131241106,1.0,46000.0,1,0,0,1,0,0,0,0,1,0,0
89220.3,14579.8,300.0,131.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4979394115591335,0.4536531421048183,0.547283427488684,0.3219504074385227,0.0,55000.0,0,0,0,1,0,0,0,0,0,0,1
99608.12,12588.41,312.0,136.0,305.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.4664745746177957,0.4553800231610297,0.4792450346795914,0.4056156614498106,0.0,66000.0,0,0,0,1,0,0,0,0,1,0,0
93851.5,8211.39,333.0,185.0,316.0,3.0,1.0,1.0,11402.39,4.0,7.0,0.0,0.0,0.4865611453214664,0.4626427668719211,0.6723457636273642,0.417590387865872,0.0,38000.0,1,0,0,1,0,0,0,1,0,0,0
125642.3,15913.52,287.0,158.0,270.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.6524824513945461,0.6800255016227308,0.7570325423823382,0.7021929753494006,0.0,56000.0,0,0,0,0,0,0,0,0,1,0,0
41117.68,10632.26,318.0,173.0,270.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.2087490072418054,0.2814687805361343,0.28842187636756,0.2768551593486488,1.0,62000.0,1,0,0,1,0,0,0,1,0,0,0
140826.76,99999.0,313.0,149.0,265.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.6680894631860506,0.5755196350791539,0.5658850310733413,0.6461013179733764,1.0,107000.0,1,0,0,1,1,0,0,0,0,0,0
37712.91,8199.64,293.0,177.0,293.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.5562338478519557,0.3786597452410187,0.664804278280002,0.5155588320927904,0.0,67000.0,0,0,0,0,0,0,1,0,0,0,0
64319.79,7932.58,288.0,152.0,286.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6606237316967107,0.717184797223012,0.6668706028041331,0.6917651904086967,0.0,77000.0,1,0,0,0,0,0,0,0,1,0,0
83858.58,10963.74,365.0,191.0,337.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.5901367827240184,0.569765113392404,0.5338610215444402,0.3878798948971227,0.0,59000.0,0,0,0,1,0,0,0,1,0,0,0
